Maximum,Membership,Maxed_Value,ER_Value,ER_Utilization,IP_Value,IP_Admits,Primary_Care_Value,Primary_Care_Utilization,Specialist_Value,Specialist_Utilization,Mental_Health_Value,Mental_Health_Utilization,Imaging_Value,Imaging_Utilization,Speech_Value,Specch_Utilization,Occupation_Physicial_Therapy_Value,Occupation_Physicial_Therapy_Utilization,Preventive_Care_Value,Preventive_Care_Utilization,Laboratory_Value,Laboratory_Utilization,X_Rays_Value,X_Ray_Utilization,Skilled _Nursing_Value,Skilled_Nursing_Utilization
6400,"564,083",2112.827787,131.4080565,0.111037465,11.45990549,0.00447337,197.8261257,1.323271188,126.8728176,0.806093241,41.80911336,0.32901115,63.97312245,0.09895415,0.984121933,0.009717136,63.71415578,1.385261838,160.1637513,1.98085044,106.0821966,3.234971459,96.28329186,0.665315,0,0
6500,"556,382",2128.742052,133.0918471,0.111763063,11.74629656,0.004541719,198.279255,1.326315585,127.5469412,0.810279913,42.17459501,0.331552289,65.09447876,0.100366468,0.998918712,0.009852291,64.48190101,1.399813591,160.9501147,1.985838028,106.8191369,3.248610709,97.16400008,0.669749067,0,0
7500,"548,883",2277.257302,148.8164363,0.11817346,15.35246694,0.005298309,202.2413964,1.352454987,133.3924971,0.844884126,45.38996112,0.35432412,75.28808019,0.113237438,1.181490047,0.011411041,71.27101082,1.523567584,167.7048516,2.029071978,113.4335011,3.368418911,105.2236185,0.710016517,0,0
10000,"483,619",2582.912814,181.3659065,0.130075611,30.86738523,0.007751285,209.103308,1.397970232,144.1766721,0.908014743,51.04420247,0.39316127,95.85958614,0.138449473,1.57884589,0.014885889,84.69902543,1.760361609,178.9773849,2.104696087,126.3164697,3.59743819,121.2186224,0.789183396,0.016180645,7.73E-06
15000,"369,700",3011.883971,224.6052697,0.144258966,104.6660064,0.015880307,216.4160309,1.445940414,156.8069932,0.980089643,56.85291789,0.432091389,122.7108716,0.170975315,2.099795607,0.019234528,103.0161985,2.053852048,190.2287518,2.196866794,142.7444008,3.890481075,143.2239599,0.896121165,0.035901472,1.28E-05
20000,"237,770",3297.706262,252.8620356,0.152743785,194.7635409,0.023534454,220.3010105,1.47117613,164.1907991,1.020267345,59.97930936,0.451969347,139.1326879,0.190568967,2.493057453,0.022283659,114.7596774,2.224801536,196.0252872,2.253198558,153.4938192,4.078031548,158.8755426,0.967894391,0.068864826,0.000021207
25000,"164,391",3501.172333,272.2045455,0.15837029,270.8903513,0.029025283,222.7974396,1.486894083,169.1986305,1.04614542,62.10662833,0.465175113,150.3624506,0.203701606,2.761249167,0.024219185,123.0242574,2.331816144,199.5710069,2.288230318,161.0913619,4.206903014,170.311352,1.017338326,0.098971095,2.77E-05
30000,"121,799",3655.837777,286.3174487,0.162349523,334.7260883,0.0330615,224.5096653,1.497400487,172.7740118,1.063581779,63.51447814,0.473830202,158.3138533,0.212995465,2.967619033,0.025753115,128.780737,2.399532778,201.880511,2.31043645,166.4788557,4.295990197,178.7818506,1.052786916,0.140259841,3.57E-05
35000,"95,360",3778.412324,296.5693955,0.165282271,391.632873,0.036190395,225.7893552,1.505033486,175.6292492,1.076387091,64.614783,0.48052537,164.0747141,0.219704512,3.098162229,0.026675038,133.1845023,2.44700695,203.4478315,2.325979794,170.5110518,4.361624794,185.3003693,1.079074597,0.2166719,5.39E-05
40000,"77,363",3878.695444,304.1939377,0.167434494,442.9391591,0.038749222,226.8092923,1.510874962,177.9958876,1.086327429,65.41149783,0.485304991,168.6290381,0.225014148,3.213927293,0.027492325,136.5015742,2.480782981,204.6139674,2.337442611,173.697867,4.413098494,190.4191989,1.099671785,0.303385001,6.98E-05
45000,"64,540",3962.860488,310.3166358,0.169189075,489.8573913,0.040876614,227.6496292,1.515269808,179.9117726,1.094062614,66.0185139,0.488801802,172.2510294,0.229363958,3.293336147,0.028072521,139.1935369,2.507081145,205.4741321,2.345928903,176.1614392,4.451896628,194.7620738,1.116422735,0.459773941,9.50E-05
50000,"54,925",4034.476749,315.0968352,0.170518095,534.117648,0.042701462,228.2867579,1.518691685,181.5976617,1.100495388,66.47764591,0.491511468,175.3532498,0.232985263,3.388082111,0.028590683,141.5944919,2.527686689,206.2321123,2.352549138,178.2483606,4.484352701,198.63263,1.130733481,0.639134366,0.000125168
100000,"47,219",4418.283725,336.4335574,0.176363486,812.2986579,0.051829739,231.1831744,1.533379229,191.9771112,1.131247192,68.55302185,0.502516793,192.6234459,0.253708701,3.771338699,0.031113568,151.3524903,2.611881582,209.240254,2.38175242,188.3752556,4.650505635,227.1924507,1.211584437,2.012590299,0.000334548
200000,"16,357",4658.954843,346.2370964,0.179035938,1027.891145,0.056904622,233.0807788,1.539521437,201.9079072,1.147737202,69.26744934,0.506105004,205.5456395,0.268958352,4.072284917,0.032823904,154.7538975,2.635092741,210.5607076,2.39650805,195.3016572,4.765021704,252.8113598,1.263870947,3.549390962,0.000511691
